m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,k
0,767046,24692.95,274.46,879,Regret,347650,319,5.42,337928,62409,407236,4
0,992512,13037.7,475.38,159,Cataclysmic Hypernova,400078,402,6.53,366949,61470,408174,4
0,689769,10092.15,254.38,1065,4K Capsaicin,303998,333,5.13,351975,67526,402151,4
256,992512,9211.09,290.31,694,Cataclysmic Hypernova,400078,402,6.53,366949,61470,408174,4
64,767046,6831.55,624.88,32,Regret,347650,319,5.42,337928,62409,407236,4
0,641637,6202.31,129.33,3373,4K Another,283841,96,3.8,328038,69319,400572,4
0,905576,6101.16,159.76,2651,Triumph,347650,319,4.18,332717,62409,407236,4
0,1214524,4796.99,145.8,2840,Insane,573280,181,4.05,200736,46991,422642,4
0,985879,4509.91,193.21,2097,MX,460324,188,4.46,167589,58306,411326,4
0,1087293,4244.71,115.16,3699,EXPERT,511480,115,4,391254,57452,412225,4
0,739841,4243.04,142.46,2988,Another,334363,113,3.92,264614,68203,401529,4
0,975667,3566.28,193.51,2097,Lightning,455164,362,4.7,263852,58091,411543,4
0,758198,3377.33,157.12,2704,Genuine,343093,151,4.2,254170,65550,404082,4
0,1087294,3052.91,185.08,2137,MASTER,511480,115,4.62,258202,57452,412225,4
0,1920615,3030.23,398.13,297,#0000FF,919633,246,6.4,89865,34433,435109,4
0,834370,2788.9,177.74,2331,Daybreak,381397,150,4.54,194663,63840,405795,4
0,1315053,2724.2,407.31,276,Daitatsujin,623951,126,6.11,182988,38009,431688,4
64,689769,2698.73,542.43,79,4K Capsaicin,303998,333,5.13,351975,67526,402151,4
0,884693,2404.94,142.37,2988,4K Insane,407186,177,4.11,263068,62345,407290,4
0,2149349,2274.14,274.43,879,Party,1027900,195,5.17,66761,11438,458197,4
64,975667,2070.07,455.97,186,Lightning,455164,362,4.7,263852,58091,411543,4
0,825237,1974.78,116.99,3699,EXHAUST,377004,115,3.77,155689,57934,411706,4
0,1248862,1936.8,224.47,1568,Black Another,590032,113,4.85,122031,40150,429508,4
0,1263100,1879.6,191.89,2097,7.667 km/s,575053,327,4.63,184795,53741,415951,4
0,784054,1864.37,214.8,1621,GRAVITY,356253,111,4.69,268345,67477,402192,4
0,652299,1824.39,120.4,3374,Poi,288794,250,3.65,206036,72896,396737,4
0,2031389,1779.7,224.05,1568,Lyz's Another,808872,139,4.85,88233,24014,445844,4
0,861184,1754.09,129.24,3373,Avalon vs D arc's EXHAUST,395250,113,4.09,176326,53108,416526,4
0,963330,1745.63,209.27,1769,4K Goddess,387756,347,4.62,134015,56463,413170,4
0,823920,1737.31,132.48,3264,Another,376340,112,4.1,301067,65025,404619,4
0,2847102,1689.36,105.53,3842,Future,1377628,139,3.61,129357,17901,451589,4
0,2755520,1668.06,300.19,625,4K Resurrection,1329899,299,5.38,54629,20189,449451,4
0,1218547,1555.41,110.72,3710,1.023 km/s,575053,327,3.7,232426,53741,415951,4
0,532796,1495.13,355.63,385,Extra,228853,129,5.8,301430,70930,398703,4
0,577429,1479.48,179.55,2278,World's End,251365,329,4.5,130414,72082,397552,4
0,1967430,1438.74,249.82,1065,Last Adventure,942240,152,5.05,92150,23342,446293,4
0,439149,1438.6,112.68,3710,justhow's MX,175684,212,3.65,208730,78921,390751,4
0,1107353,1413.25,117.08,3699,NIGHTMARE,480769,104,3.93,235221,58819,410814,4
0,840232,1383.09,167.35,2552,SY's 4K ULTIMATE Lv.15,382403,110,4.37,126950,59791,410122,4
0,1023071,1346.33,365.63,374,Extra,478161,138,6,149951,54235,415413,4
0,1092805,1341.78,300.41,625,GRAVITY,514461,118,5.46,166662,50565,419124,4
0,2749117,1327.6,364.27,389,HEAVENLY,1326970,183,6.13,39004,10502,459131,4
0,1231247,1326.79,185.08,2137,Another,581729,186,4.48,135369,45238,424408,4
0,2940873,1323.87,250.23,1065,Eternity,1428416,1232,4.85,20900,18889,450744,4
0,1214523,1317.85,87.32,4716,Hard,573280,181,3.21,123885,46991,422642,4
0,847379,1306.13,331.43,462,L45T C4LL,386950,242,5.63,106830,58651,411003,4
0,1350131,1292.32,105.43,3842,4K Insane Lv.12,636272,143,3.78,228771,47484,422186,4
0,1033166,1289.55,210.62,1664,Junkies !!!,484327,268,4.52,95191,59628,410008,4
0,1132009,1271.44,145.8,2840,Hamids' Karasu!,530923,131,4.07,148105,56112,413529,4
0,1129049,1236.97,157.34,2704,Greget,532917,80,4.24,173034,43379,426255,4
0,795971,1235.79,129.43,3373,Emperor of Time,362395,331,3.75,181129,65003,404639,4
0,3497908,1218.82,316.58,528,Devotion,1711665,234,5.63,28133,9976,459657,4
0,2504976,1213.66,233.34,1407,The End,1202872,218,4.83,32971,20795,449105,4
0,522938,1199.35,155.67,2704,Ene's SC,170446,192,4.23,157520,73282,396448,4
0,983881,1183.14,165.57,2552,MX,459223,227,4.32,136877,61473,408173,4
