id,name,ppOld,ppNew,ppDiff,minuteUpdated
758406,dressurf,26674.8,26582.70,3128,28167544
3935111,Bssd,25271.4,24868.95,2255,28167544
11420405,- Kura -,25108.5,24849.17,1804,28167544
2402586,HanJaeHun,24258.4,23680.00,1727,28167544
10083439,bojii,24433.7,23631.76,1510,28167544
6132697,Suzuha_l,24179.1,23533.90,2104,28167544
766374,LostCool,24082.8,23319.54,2072,28167544
10910337,Stellium,24041.4,23319.43,1446,28167544
259972,Jakads,22684.6,23097.42,5073,28167544
7727987,Neokje,23045.7,22644.82,1449,28167544
13026904,tyrcs,23257,22633.49,1694,28167544
10790649,Kalkai,23290.8,22302.95,1776,28167544
19791211,DellyK,23073.3,22245.22,1218,28167544
4477497,cheewee10,23065.8,22168.26,1081,28167544
12040572,_Ennill,23132.8,22050.15,1047,28167544
3154852,aitor98,22975.9,22018.97,1496,28167544
4980256,Alter-,22956.7,21857.65,1051,28167544
9526558,ZoyFangirl,22750.3,21834.35,1098,28167544
137227,ideu-,22514.1,21748.02,1740,28167544
8748664,Arona,22660,21675.90,1168,28167544
2071008,yz1155,21160.4,21536.58,4405,28167544
7195415,hapf,22089.9,21447.78,1644,28167544
17932840,Modern,22208.3,21197.54,972,28167544
8046839,Alchemy,21858.1,20920.09,1108,28167544
877011,Berrii,21674.8,20893.09,1842,28167544
8273098,My Angel Koishi,21838.5,20818.22,1406,28167544
8716749,Dety,21445.8,20640.19,1378,28167544
3885626,Motion,21474.3,20575.63,627,28167544
2288363,SillyFangirl,21611,20467.20,355,28167544
14318312,[Crz]Reimu,21186.4,20458.20,1085,28167544
21744976,Soomin_,20577.3,20428.70,2457,28167544
10132430,NKEYBOARD,20439.2,20345.75,3655,28167544
10569738,QingJiDing,20792.6,20343.82,1366,28167544
7354881,karcice,20033.2,20332.13,3921,28167544
18282863,HxcQ777,21129.5,20256.95,1209,28167544
11290311,Tyronix,21291.5,20169.97,751,28167544
12598261,TsukiyaWhiskers,20774.6,20108.60,922,28167544
10512663,af-,20732.8,20061.36,865,28167544
8677684,Onta_Bekasi,20911.6,20060.50,501,28167544
16270273,[UTGY],21070.1,20056.81,852,28167544
10079171,Epi75,20883.2,20054.61,1670,28167544
12572401,kzorii,20763.5,20034.20,-318,28167544
485007,rainlily,20804.1,19940.02,1672,28167544
17233884,RectalRampage69,20269.1,19932.00,1244,28167544
6117525,ruka,20317.4,19454.13,-128,28167544
89545,VanWilder,20309.8,19441.51,505,28167544
3036686,Sanni,20345.4,19410.71,245,28167544
5144698,LiangIaiajan,19107.3,19271.62,3493,28167544
10137852,Doma - Umaru,19087.2,19234.32,4169,28167544
5332153,cr1sp,20114.8,19231.60,523,28167544
11976455,Enie,20033.9,19109.01,-17,28167544
10794280,Altros,20135.6,19097.96,-726,28167544
9880422,rubyy,19759,19035.78,1413,28167544
10329095,VanillaLatte,19880.7,18936.91,-225,28167544
7515326,[ M Y S T I C ],19270,18904.87,-497,28167544
16734203,instal,19816.2,18736.88,-730,28167544
12028216,mashu,19724.7,18694.54,-81,28167544
3721535,D P,18821,18668.34,3008,28167544
3693546,LR2MAG,19008.7,18617.42,1958,28167544
6824258,Dius,19165.6,18463.03,1558,28167544
1020304,NkeyZoyDkqehKal,19491.4,18451.65,-49,28167544
18828348,N_Sana,19238.2,18427.17,637,28167544
8035811,Nara_S2,19497.6,18425.25,318,28167544
10400730,-NoName-,19545.8,18395.91,230,28167544
2655836,Yanamon,18496.7,18295.79,2645,28167544
12634757,YunJeong_U,19186.5,18208.57,133,28167544
25393074,Vbpl_167,19022.4,18178.49,148,28167544
15314355,UmmmMrMoo,19259.4,18165.97,425,28167544
15164383,__User__,19210.4,18106.02,393,28167544
16322711,FakeException,18853.5,18098.68,282,28167544
14952077,yeonho7028,18334.8,18094.30,1504,28167544
22791301,_93,18119.3,18054.59,2320,28167544
5684525,_relay,18801.3,18009.83,-96,28167544
8862836,qquark,18859,17927.26,343,28167544
2218047,Kim_GodSSI,17871,17925.99,3828,28167544
25804954,Li Ji Xian,18095.4,17821.81,1357,28167544
10878878,chumpup,18774.6,17815.00,-522,28167544
4270732,rlarkgus,18982.9,17786.58,-155,28167544
16819909,Arcaxio,18917.1,17779.33,-72,28167544
14516576,LokSG,18493,17756.66,231,28167544
10303887,oct4,18767.5,17751.95,-337,28167544
8519296,Notpx-,18839.9,17729.76,185,28167544
9918331,firsw,18885.2,17715.16,289,28167544
9707898,weluviwanna,18843,17708.67,-590,28167544
13465246,Snowie_Osu,18445.1,17706.28,1336,28167544
16012377,[-Tricked-],18675.6,17638.44,-294,28167544
2141612,stupud man,17568.7,17540.67,2363,28167544
24675802,Bunsen,18268.1,17506.73,-959,28167544
7304158,Space1999,18235.5,17427.71,767,28167544
14631339,lnote_,18544.4,17315.21,243,28167544
9666710,[EGEJ]Egg_Tart,18300,17268.91,449,28167544
18271627,grillroasted,18301.9,17202.94,-583,28167544
18546367,Mango0307,18175.8,17090.67,32,28167544
16207464,tnwl,16899.5,17077.49,3166,28167544
7860283,CrewK fanboy,18123.4,17077.31,-285,28167544
11199083,Judiciousity,17778,17035.55,-670,28167544
13967954,Watch01,18004.8,16968.59,-599,28167544
11658296,[hgamea],17579,16920.54,1358,28167544
2494747,Windows - Xp,17937,16826.89,-55,28167544
13450592,Vylence,17807.6,16811.19,-13,28167544
6336721,[Paw]FIood,17546.5,16801.36,518,28167544
11636434,Jeersy,17396,16786.00,793,28167544
15838669,_Phigros,17746.4,16767.25,-493,28167544
17721836,Natsurio,17708.4,16729.19,-127,28167544
7457801,Nagareboshi,16805.3,16711.90,2341,28167544
14245127,Cheung Fun,17292.6,16696.26,641,28167544
7853143,faz_cL,17273.9,16649.60,644,28167544
18172498,Tsunakko,17702.7,16645.33,88,28167544
6452862,Afro_ilshio,17682.7,16634.00,112,28167544
12386417,GreenTeaz-,17793.5,16628.70,-375,28167544
4194612,YUKI -,17559,16611.61,-409,28167544
18350349,samyangramyun,16700.8,16546.94,696,28167544
7590894,ExNeko,17649.4,16538.02,-386,28167544
31323430,Cyubic_EZ2AC,16727.3,16495.57,-369,28167544
4790958,MadBricktree,17528.1,16433.94,-148,28167544
7486692,decoy-,17266.8,16433.71,-46,28167544
3835515,INGYK,17561.8,16397.32,-294,28167544
7296731,wonder6974,17306.9,16368.81,-180,28167544
13167794,ez2ac_JJO,16282,16323.84,2541,28167544
11270477,Schopfer,17193.2,16320.11,1548,28167544
10125072,U1d,16662.1,16304.36,1374,28167544
13622614,Harambe,16973.1,16289.25,-69,28167544
4952941,Gamer97,17060.8,16265.48,798,28167544
7288913,_LASH,17012.7,16260.37,962,28167544
24331923,X-DEN,17164.2,16259.82,-290,28167544
20834952,dks9o,16769.6,16233.72,616,28167544
7156634,karayss,16532.2,16221.05,1617,28167544
25226992,Ena Shinonome,17124,16186.57,254,28167544
8369893,soulseason,15826.8,16180.51,3658,28167544
10072733,myucchii,16462.8,16179.13,1219,28167544
9919550,yukina meng,17228.1,16174.69,-419,28167544
18027748,Yunoyunoyuno,17159.8,16173.57,357,28167544
15514768,Mkurisutina-,17203.8,16144.99,-91,28167544
427355,KafuuChino,15934.8,16134.86,2883,28167544
6968857,[NaNachi],16197.5,16110.34,2296,28167544
23401664,sjccsjcc,16942.1,16069.26,-326,28167544
3632846,lxLucasxl,17241.2,16039.77,80,28167544
8901267,fer789,16993.1,16029.79,273,28167544
6378800,anim girl,17079.1,15990.02,-622,28167544
14767969,- Minato Aqua -,16752.3,15989.45,-301,28167544
16419138,newneww,16922.5,15948.50,55,28167544
9702339,2352961378,16835.3,15924.86,295,28167544
