id,name,ppOld,ppNew,ppDiff,minuteUpdated
7562902,mrekk,24844.8,24112.27,-973,28166580
11367222,lifeline,22649,22149.97,-279,28166580
9269034,Rimuru,21408.4,20655.99,-1168,28166580
10549880,ninerik,20336.7,20152.07,1312,28166580
5199332,Chicony,20327.6,20026.25,-37,28166580
12779141,gnahus,20391.4,19938.07,-121,28166580
6447454,Peter FamilyGuy,20024.9,19887.44,2809,28166580
6600930,Zoomer,19963.2,19840.97,1122,28166580
5339515,Mathi,19142.6,19511.69,2762,28166580
4504101,BlackDog5,19534.6,19124.05,-556,28166580
7525949,shimon,19738.9,19077.34,133,28166580
7512553,Utami,19598.1,19020.23,-640,28166580
6304246,rayuii,19103.5,19012.28,1488,28166580
13211727,NyanPotato,19574.1,18845.24,-1363,28166580
4108547,WindowLife,19136.5,18744.03,-784,28166580
2291265,Arnold24x24,18643.9,18402.92,1670,28166580
12408961,maliszewski,18659.4,18373.09,-104,28166580
124493,chocomint,17943.3,18371.15,4117,28166580
10323184,Flaro,18593.5,18297.12,-168,28166580
6114695,ciru,18637.3,18141.86,-429,28166580
8640970,enri,18717,18130.44,-970,28166580
8856806,kirby_fella1115,18405.7,18027.02,-100,28166580
7813296,Rektygon,18474,18017.56,29,28166580
2558286,Rafis,18239.1,18000.09,604,28166580
1419095,Aricin,17870,17936.14,2989,28166580
4787150,Vaxei,18468.8,17897.47,-27,28166580
3717598,xootynator,18091.7,17841.93,2257,28166580
2546001,Intercambing,18492.3,17833.10,-954,28166580
7341183,ASecretBox,18553.9,17812.89,-1657,28166580
11443437,mx10001,18322.3,17597.88,-1344,28166580
4175698,sytho,17934.4,17570.37,638,28166580
3498155,Zaqqy,17549,17430.69,899,28166580
11692602,LpBj3NoP7odrgHT,18039,17404.32,-220,28166580
9642774,Milkteaism,18089.4,17364.08,-768,28166580
14612966,AlertedDragon,17501,17195.60,-1203,28166580
11604978,luciano,17688.1,17187.41,-1103,28166580
5033077,Zylice,17557.5,17085.72,296,28166580
10651184,MINHOCA LOKA,17577.8,17016.42,-835,28166580
3345902,Varvalian,17713.1,16949.51,-1724,28166580
4882979,Dereban,17113.6,16938.50,956,28166580
6937470,kazamabc,17284.6,16925.71,718,28166580
9902255,Apostol,17149.8,16769.47,1436,28166580
7892320,mx10002,17084.9,16763.43,105,28166580
5774823,Rupertion,17715.7,16750.76,-1282,28166580
13962152,zZ CreatorGD Zz,17385.6,16627.02,-1497,28166580
2204373,Spare,17021.6,16583.43,-448,28166580
4581069,etn,16914.4,16535.75,-740,28166580
11626318,Reused,16672.4,16459.43,1814,28166580
6142837,NoSin,16604,16446.24,630,28166580
14097024,RhythmicRS,16430.9,16343.59,1505,28166580
6524092,VoProSSoFF,17155.1,16306.13,-1882,28166580
11415687,Kurumiw,17008.3,16297.28,-1117,28166580
2165650,mcy4,17256.9,16269.88,-1914,28166580
7027766,mx10003,16766.7,16259.38,-591,28166580
10077431,Plasma,16985,16248.29,-1923,28166580
8007528,Raikouhou,16778.3,16222.80,-1261,28166580
7280590,InBefore,16858.5,16212.10,-1067,28166580
9072586,Andros,16729.1,16208.67,-249,28166580
11829390,sakuraskip,16294.9,16199.24,1003,28166580
8181420,big snag,16058.9,16107.89,2355,28166580
12366071,nanoya,17037.9,16083.92,-2103,28166580
6157605,Topoi,16021.1,16083.26,1336,28166580
9224078,FlyingTuna,16897.2,16072.01,-1327,28166580
13108233,kasiabarwicka,16608.9,16063.90,-915,28166580
11652827,jordanlr7,16312.2,16028.77,847,28166580
13204938,Lolu,16664.8,16020.87,-168,28166580
8335950,Reedkatt,16748.7,16008.68,-1187,28166580
1876565,Mastasz,16993.9,15991.27,-2018,28166580
16900233,sowaboat,16096.4,15973.16,58,28166580
2766034,Umbre,16907.6,15938.04,-1440,28166580
4650315,idke,16310.6,15882.80,761,28166580
2675255,hqshe,15918.2,15849.35,952,28166580
1860489,_Slow,15852,15845.76,1320,28166580
9942252,Paraqeet,16293.8,15822.77,-598,28166580
18351160,Stixe,16153.4,15804.79,-556,28166580
10092099,Pablohh,15483.9,15801.71,2607,28166580
14215850,Bunnylikemoney,16322.9,15794.55,-1149,28166580
7918057,vincentsana,15955.6,15762.64,506,28166580
5447609,Demonical,16458.8,15750.77,-1541,28166580
2590257,wudci,16192.9,15703.62,-466,28166580
9067591,MightyDoc,15535.9,15702.77,2869,28166580
12952320,aimbotcone,16145.4,15674.82,-935,28166580
8179335,Micca,16488.4,15668.59,-1624,28166580
7342622,Freddie Benson,16614.4,15637.07,-1944,28166580
10073635,dench,16194.2,15635.59,-1852,28166580
11198996,A21,16483.9,15631.35,-1363,28166580
14385814,akarinya,16426.1,15627.66,-1858,28166580
9414229,Pinguinzi,15898.7,15603.64,987,28166580
3765989,okinamo,15805.9,15592.59,447,28166580
11552867,Welter,16023.7,15560.67,-633,28166580
12155780,qazaq airlines,15486,15553.42,567,28166580
5981005,gamer228666,16426.1,15549.75,-1810,28166580
6619303,Cracento,16074.6,15528.36,-1312,28166580
7972980,-Din-,16085.9,15522.93,298,28166580
7025429,MyAngelMiku,15844.1,15494.53,-475,28166580
10083084,Wixonater,16087.5,15464.70,-479,28166580
7178423,POP ART TOWN,16287.1,15458.70,-1781,28166580
15587374,g wagon,15570.7,15447.92,928,28166580
4196808,Karthy,16177,15426.09,-939,28166580
8198848,Sawada,15763.7,15422.53,1382,28166580
14106450,worst hr player,16198.3,15400.12,-1443,28166580
9313951,Tsuwagi,16179.9,15394.94,-1439,28166580
612898,nick1324,16297.6,15391.27,-1700,28166580
11553627,Jemzsee,15546.9,15352.75,107,28166580
5371497,Alumetri,15895.3,15328.47,-1145,28166580
4170932,Red_Pixel,15127.6,15302.15,2478,28166580
6574823,siina,15373.1,15301.37,1822,28166580
1473890,badeu,16266.2,15289.10,-1524,28166580
15296720,[ Freeze ],15684.1,15262.08,-211,28166580
9993348,ur cute,16062.5,15257.70,-1523,28166580
17446380,MeOwz,15553.5,15186.73,-834,28166580
10916561,Ailes Grises,15762.5,15183.16,-1168,28166580
7724148,hoanito,15972,15173.63,-1588,28166580
4908650,im a fancy lad,15793.2,15163.65,-399,28166580
3171691,BTMC,15908.3,15161.10,-929,28166580
3506793,Viveliam,15859.2,15148.20,-768,28166580
6806754,weabole,15780,15125.29,-1512,28166580
2562987,azr8,15440.7,15119.45,923,28166580
13767572,Saiyku,16141.8,15108.76,-1923,28166580
9254536,khz,15743.9,15093.22,-502,28166580
1650010,Aireu,15878.2,15068.12,-1214,28166580
3069354,DanyL,15440.7,15058.98,818,28166580
4007897,obtio,15528.3,15056.28,258,28166580
11496364,JappaDeKappa,15215.2,15040.37,889,28166580
8788058,Jakson,15061.8,15032.44,1104,28166580
3328742,Trail Mix,15537.3,15030.50,-810,28166580
8075782,ratcho,15541.4,15023.46,-847,28166580
3126596,Mlaw,15859.4,15018.44,-1994,28166580
11269055,creepy reader,15592.1,15012.22,-1018,28166580
2932510,wuhua,15587.5,15003.08,-211,28166580
5645231,dingleton,15953.9,14992.04,-2169,28166580
12258658,Tsfury,15689.6,14988.72,-1345,28166580
10196805,angelkanna,15595.4,14986.17,-1379,28166580
5218178,Malteser,15296.7,14964.42,798,28166580
4928776,AxewB,15510.2,14961.37,-482,28166580
8359561,mx10007,15765.1,14954.36,-1918,28166580
8251785,killer2007,15556.5,14950.48,-1230,28166580
6404583,-PloX,15533.2,14945.30,-1424,28166580
22710559,Sp1cyy,15213.9,14914.04,839,28166580
754565,Dustice,15316.8,14900.15,214,28166580
7883418,WakaiYuki,15368.1,14882.64,-198,28166580
8082362,TrickyPugster,15385.2,14871.43,-906,28166580
6123428,Vamhi,15662.2,14859.23,-1671,28166580
5370153,Exarch,15086.6,14845.34,1134,28166580
10717635,Hakui Koyori,15784.2,14822.22,-1853,28166580
7075211,tekkito,15528.7,14796.65,-420,28166580
7657831,MBAPPEEEEEEEEEE,15698.5,14778.56,-898,28166580
13300203,yary,15337.8,14763.64,-1152,28166580
10746970,Sawitar,15310.3,14739.63,-572,28166580
2565902,MoeYandere,14745.7,14732.74,2280,28166580
5527745,Abyssal,15364.5,14689.08,-1417,28166580
3995630,Rampax,14430.8,14676.33,2763,28166581
6591496,SadnessWillSear,15730.4,14659.33,-1531,28166580
16817965,Kamensh1k,15256.4,14636.56,-1841,28166580
10613549,Shirosora,14756.3,14623.58,527,28166580
15293080,Kim Suhye,15266.5,14592.68,-1301,28166580
4141918,Thundur,15520.7,14580.09,-1158,28166580
3149577,Coreanmaluco,15036.5,14572.88,-946,28166580
13065919,R1cho,14970.2,14560.11,-369,28166580
4256461,Riot,14834,14550.37,-387,28166580
10199538,SL1PER,15260.9,14519.62,-1403,28166580
6800152,lPogonyuto,14777.1,14511.38,227,28166580
12024659,qlco,15090.6,14487.94,-627,28166580
11806306,Zyntex,14950,14471.43,-1887,28166580
8975836,Snowy LP,14961.1,14463.56,-1039,28166580
12970596,Gurbzy,14999.1,14459.04,-1308,28166580
12632867,Neinja,14966.1,14456.63,-492,28166580
9509358,termixo,14723.1,14455.05,-214,28166580
3036545,975250450,15063.8,14450.32,-994,28166580
5423872,ruirui,15385.3,14430.64,-2558,28166580
9938943,CS2,15073.4,14424.15,-1598,28166580
17202789,R10sh1,15059.4,14421.88,-1497,28166580
9722332,Kaslana,14950.3,14405.80,-310,28166580
4852013,Monko2k,14966,14390.81,-260,28166580
8116659,criller,14630.3,14368.84,1018,28166581
7908994,dlwlrma-,15168.8,14362.44,-1542,28166580
8581210,LightsOut,14944.1,14351.93,-1522,28166580
10760701,Hexikey,15353.8,14350.97,-2251,28166580
2012453,PikaPwn,14768,14334.14,-42,28166580
5477343,kurtis-,14708,14303.97,506,28166580
6387149,kiirochii,14894.3,14278.74,-509,28166580
3533958,fieryrage,14996.2,14278.56,-550,28166580
6404027,Bartek22830,14894.1,14269.13,-1223,28166580
