id,name,ppOld,ppNew,ppDiff,minuteUpdated
3174184,shinchikuhome,21339.6,20978.11,793,28167883
12337864,Majimanjiwwwww,21052.1,20607.97,-404,28167883
8741695,syaron105,19293.8,19458.20,2545,28167883
22444525,kotohira_06,20008.5,19244.20,-648,28167883
11680357,kanten_07,19391.8,18908.33,549,28167883
9905079,Nurend,19000.7,18450.85,15,28167883
17015562,Nanas3,19361.2,18444.79,-315,28167883
26475388,sheplet,18907.1,18307.93,-471,28167883
16320311,Eriha,19182.7,18264.87,-955,28167883
14947043,hz404,18700.1,18235.60,-404,28167883
165027,Peaceful,18744.2,18228.32,985,28167883
9540073,Grape_Tea,19216.7,18088.02,-813,28167883
983349,applerss,17885.9,17902.99,2270,28167883
15117603,bombjj5,17513.6,17673.84,1991,28167883
7160196,_Kan2,17210.9,17485.60,2780,28167883
8050850,Red Riding Hood,18274.5,17474.47,58,28167883
8057655,goheegy,17985.3,17338.50,357,28167883
9551196,kiyozi11,17885.5,17130.14,-160,28167883
1382717,Nekomusya7563,17999.7,17106.84,-537,28167883
11325757,Shamirin_mzk,17989.4,17099.39,-586,28167883
15252950,Seren58,17161.7,16968.33,1846,28167883
9584873,Minekuchi,17204.3,16507.43,60,28167883
6851789,mob w,17553,16506.54,-982,28167883
11563671,4sbet1,16816.5,16463.72,635,28167883
11525993,Alpha Wann,17305.5,16407.65,-1197,28167883
10072733,myucchii,17256.8,16385.90,-1154,28167883
9085164,Laby,17012.3,16295.87,-94,28167883
7632508,miki308,17255.9,16269.87,-1110,28167883
8987606,kitafuma,16938.2,16263.76,40,28167883
5991961,Ney,16224.8,16252.69,2728,28167883
9119501,ekumea1123,16600.9,16238.73,1362,28167883
11601107,Whulf,16342.9,16194.81,1084,28167883
3337332,5henry,16700.3,16158.15,144,28167883
10079336,cat1346,16758.6,16152.64,41,28167883
7491106,7_7,16310,16116.99,1859,28167883
14510301,A-40,16913.7,16106.33,-493,28167883
24664049,TAG_M1Ra,16858.1,16095.85,-879,28167883
10907480,iNeon,16448.2,16086.32,-112,28167883
10810508,shake_dan,15967.1,16066.35,1830,28167883
1977606,stu00608,16988.3,16011.36,-630,28167883
19148438,mizkifanboy,16743.5,15969.51,-933,28167883
9511518,Qroissant,16558.9,15946.10,-45,28167883
3044264,Skull Kid,16700.1,15850.55,-204,28167883
13852925,Gra,16437.4,15837.26,1147,28167883
26454214,My Angel Eru,16486.2,15835.67,-891,28167883
1263669,Ulqui,16651.1,15806.82,-240,28167883
24748957,BG_SubMessy,15999.5,15756.06,-1362,28167883
7231722,nananass,16611.4,15743.20,-519,28167883
6490509,R J,16131.9,15684.06,676,28167883
5427801,_Doodle_,16391.2,15634.37,-387,28167883
15548173,S t o r m,15409.8,15633.70,-374,28167883
12807783,InherentCross1,16348.3,15629.57,-299,28167883
4609767,ndrrr,16317,15581.62,-45,28167883
8303357,Six b0xes,15786.3,15570.73,927,28167883
11604267,Maamu,16402.1,15540.06,-712,28167883
12780046,Shinda,16454.6,15510.80,-1562,28167883
2875968,asuasu_yura,16325.7,15502.17,-426,28167883
14254867,Lynerrr,16100.8,15486.26,-324,28167883
12874236,cpu_alpha,15759.9,15481.71,1122,28167883
7612550,frukoyurdakul,15436.6,15457.39,2403,28167883
16500346,odin3,16460.5,15448.26,-1447,28167883
9208819,NanaFlow,16285.4,15414.40,-987,28167883
9773619,RAI_4,15987,15408.34,247,28167883
13664116,AuroraPhasmata,16307.7,15386.50,-878,28167883
11293254,Ikakun4,16165.2,15381.22,-1372,28167883
15159808,-yukineko-,15751.2,15377.12,1,28167883
13613362,MEGAMELA,16266,15362.68,-725,28167883
6451537,le gagoguigo3,15661,15318.21,1069,28167883
6876752,H1gu_mo,15526.6,15273.68,1389,28167883
4908773,vysha,15981.4,15258.97,391,28167883
1134683,oL0,16012.1,15258.38,-371,28167883
12615278,Maeda,16031.1,15223.32,-1213,28167883
16818858,-call-,15803.6,15198.12,-320,28167883
14553146,kagitakun,16017.5,15197.45,-1554,28167883
12136108,Zed0x,16142.4,15161.07,-1626,28167883
12639462,Golden,16114.5,15125.30,-1437,28167883
8264451,vizokaa,15319.2,15108.95,1046,28167883
7609510,Blerargh,15031.5,15086.81,1796,28167883
1152851,4_4,15071.5,15080.09,2179,28167883
6333166,AlvaroYL,15857,15071.45,-276,28167883
7692731,Remi_hs,15192.6,15052.03,1591,28167883
13595910,Ageha24,15042.3,15042.36,1246,28167883
16491572,Alph,15949,15041.79,-1366,28167883
8929896,gekiowata,15256.3,15041.25,1415,28167883
15776151,T w i g,15811.7,15036.18,-683,28167883
23487206,sevgo7,15262.1,15012.24,-924,28167883
2680544,namaniku,15504,15002.05,730,28167883
12630336,miwoo,15927,14999.22,-636,28167883
10726804,Polemo03,15374.3,14939.60,232,28167883
14520910,Maimaing,15510,14909.20,544,28167883
21567321,kei0713,15190.1,14908.58,111,28167883
5663853,mariopokemon,14977.9,14901.24,1031,28167883
7115174,Den4ik228,15686.5,14894.24,-1614,28167883
14356353,SilverTyrant,15700.5,14856.84,-238,28167883
5136582,taiko_ryuki,15373.8,14850.18,719,28167883
12014683,Dizzayy,15459,14830.95,-845,28167883
14179968,Chococoa49sg,14800.6,14776.81,1168,28167883
4315477,superSSS,15482.3,14772.33,108,28167883
8484987,CloggyBobby,15737.6,14770.00,-1402,28167883
1893718,mangomizer,14796.2,14694.50,1701,28167883
6367560,ChoSeung,14930.7,14689.27,1500,28167883
7994829,Sasara,15193.1,14672.67,1,28167883
6956922,frz,15500.3,14668.92,-719,28167883
533502,Konpaku Sariel,15295.4,14597.13,666,28167883
6359835,zkane2,14843.5,14592.16,1244,28167883
5321719,uone,14661.7,14590.97,2205,28167883
11260982,YaniFR,15423.8,14585.36,-1057,28167883
7555792,petterde,15468.5,14582.01,-721,28167883
2076374,sobatsuyu,14650.1,14572.86,1566,28167883
7807444,D3kuu,15361.4,14545.14,-878,28167883
8883498,remuresu17,14699.3,14529.03,1295,28167883
2774767,tasuke912,14645.7,14500.00,2181,28167883
4046406,ROTO2001,15230.3,14475.17,-558,28167883
961417,Xay,14471.7,14469.37,1620,28167883
7739269,v2fax,14743.1,14419.36,1705,28167883
12273160,6gicha,15031.7,14387.23,-683,28167883
12160279,dragonmaxx,14675.5,14380.91,62,28167883
32553132,ntml,14890.7,14353.82,-980,28167883
6349821,cheese salad,15254.1,14351.26,-1093,28167883
5918857,snz,14814.5,14332.40,1512,28167883
3918650,Raphalge,14804.3,14314.83,582,28167883
9258564,ChurroChef,14898.3,14314.13,-90,28167883
6372422,Prymal,15193.8,14294.66,-366,28167883
8192004,Y u w a n,14360.9,14281.31,1621,28167883
29485001,sraim,14651.3,14271.75,-1105,28167883
8145223,Kyoumo,14838.7,14259.69,744,28167883
1656336,pet,14426.6,14255.02,1233,28167883
5082685,POCARI SWEAT,14957.5,14246.89,-96,28167883
6502903,Cinnamon_54,14417.2,14222.49,1159,28167883
8027517,miyagishima,14602.5,14219.78,1340,28167883
4841352,Jaye,14415.8,14198.92,1602,28167883
5071871,Jesus,14852.1,14184.41,-244,28167883
14324722,Naverlyn,15180.2,14180.90,-1254,28167883
4126437,suni,14264,14176.03,1881,28167883
8273098,My Angel Koishi,14550.3,14169.52,859,28167883
11071662,penchan_256,14349.7,14161.60,1571,28167883
8089664,Katdon_donKat,14140.7,14156.62,1530,28167883
8121109,Raytoly,14222.5,14145.56,1709,28167883
9981017,fujisam,14209,14133.57,1049,28167883
5217107,_Rise,14316.8,14132.71,1867,28167883
4407678,_knots,14833.6,14098.77,-544,28167883
5116922,amge,15036.8,14089.17,-911,28167883
12177903,Xok,14719.8,14082.33,29,28167883
4019797,huepike,14313.8,14028.14,1041,28167883
9821194,Miniature Lamp,14214.7,14018.53,1210,28167883
7984343,senfla,14569.1,13991.65,-842,28167883
16869472,yomodon_foo,14111.3,13991.29,896,28167883
10894640,denaN,14398.7,13989.37,251,28167883
14623658,supesan,14382,13963.82,342,28167883
7556189,ankoro,14010.9,13955.62,1451,28167883
5482401,iceOC,14026.9,13943.15,1449,28167883
13175389,Ascrute,14625.9,13931.08,-658,28167883
11931563,Roxy-,14639.2,13923.96,-977,28167883
7086439,Dargin,14046.2,13911.06,749,28167883
7280717,ImChro,14826.5,13906.19,-923,28167883
14415208,Dioramos,14374,13894.28,-11,28167883
9117141,kotarou2525,14510.7,13881.97,-449,28167883
1059945,Ikkun,14445.4,13878.92,429,28167883
2180885,pmriva,14140.7,13873.79,696,28167883
4632503,1RoHa_,14046.7,13873.08,1471,28167883
2277798,monkeydluffy3u4,14694.9,13864.40,-744,28167883
1139209,XK2238,14146.6,13854.86,1140,28167883
11719422,ASliceOfPi,14481,13852.10,-775,28167883
4655546,aHTaoN,14198.9,13851.32,-209,28167883
10869389,makimen,14381.1,13825.46,-397,28167883
28854025,marusuke75,14629.8,13824.93,-1960,28167883
8011704,J a c k y,14424.4,13803.35,286,28167883
16462012,CheeseStingy,14301.4,13792.70,-185,28167883
284905,Ekoro,14332.2,13775.27,346,28167883
28599539,Fsi,14466.9,13754.56,-1617,28167883
